"","SRR5071107","SRR5071108","SRR5071109","SRR5071110","SRR5071111","SRR5071112","SRR5071113","SRR5071114","SRR5071115","SRR5071116","SRR5071117","SRR5071118","SRR5071119","SRR5071120","SRR5071121","SRR5071122"
"DDX11L1",0,1,4,4,0,0,2,0,1,0,2,0,0,4,0,0
"WASH7P",4,5,5,5,2,5,8,8,5,4,2,3,5,4,10,4
"MIR6859-1",2,4,4,1,5,7,4,17,10,5,6,14,2,11,15,7
"MIR1302-2HG",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"OR4G4P",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OR4G11P",0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0
"OR4F5",0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
"AL627309.1",0,0,0,2,1,1,0,1,4,0,3,2,1,0,0,3
"AL627309.3",0,0,0,1,1,1,0,1,4,0,0,2,1,0,0,0
"CICP27",0,0,0,1,0,0,0,3,3,0,3,0,4,1,0,0
"AL627309.6",0,0,0,3,1,0,2,1,1,0,2,0,0,1,0,0
"AL627309.7",1,1,0,2,0,2,0,5,3,0,4,4,2,5,1,0
"AL627309.2",0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0
"AL627309.5",0,0,5,3,3,3,0,6,5,4,2,0,2,4,1,3
"FO538757.1",0,1,0,4,1,10,0,8,5,0,6,3,1,2,11,0
"WASH9P",47,34,69,45,30,37,38,64,43,68,48,73,33,56,46,57
"AP006222.1",0,18,0,21,16,9,4,34,7,0,30,41,21,11,11,3
"RPL23AP24",0,1,0,1,0,0,0,2,0,0,1,0,2,0,0,0
"AL732372.2",10,19,11,20,30,74,8,63,21,22,42,43,12,28,44,40
"OR4F29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL732372.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RF00026",3,7,5,24,18,29,7,26,20,8,10,19,16,10,17,12
"AL669831.3",15,20,8,22,13,17,10,37,38,8,29,19,15,34,8,19
"MTND1P23",0,0,0,1,0,0,3,1,4,1,0,0,1,0,0,0
"MTND2P28",17,11,22,20,29,27,26,30,27,19,26,22,35,18,27,18
"MTCO1P12",33,23,37,29,34,37,62,106,62,41,60,62,39,52,71,52
"AC114498.2",2,3,1,1,3,1,4,9,6,2,6,8,5,6,11,5
"MTCO2P12",2,0,2,2,2,1,2,1,6,0,5,4,3,0,5,1
"MTATP8P1",0,0,0,3,0,0,0,2,2,0,0,0,7,0,1,1
"MTATP6P1",55,34,54,91,106,94,43,187,213,44,119,77,82,68,78,119
"MTCO3P12",1,2,2,1,1,1,3,5,7,3,5,5,2,5,1,6
"OR4F16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CICP3",0,0,1,0,0,2,2,2,3,3,1,3,0,0,0,0
"AL669831.1",21,18,27,27,17,46,17,43,31,13,58,40,21,53,24,38
"RNU6-1199P",1,1,1,0,1,0,0,2,1,0,2,0,2,1,0,0
"AL669831.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL669831.5",33,29,65,150,103,138,58,99,196,97,182,117,85,152,97,55
"AL669831.7",2,0,1,5,1,3,1,2,5,1,5,3,3,1,3,2
"AL669831.4",121,188,152,131,75,174,209,208,162,84,151,132,103,81,547,278
"FAM87B",7,10,12,13,16,14,6,11,5,5,20,12,8,13,18,9
"LINC01128",475,406,539,806,491,761,360,748,960,481,913,642,432,768,543,683
"LINC00115",15,12,24,34,17,30,15,19,42,29,34,32,18,44,25,12
"FAM41C",3,0,3,5,0,0,0,2,11,1,1,3,0,0,0,1
